pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"Kepler-1162 c",,,,,,
"Kepler-1181 b",,,,,,
"Kepler-1834 c",,,,,,
"Kepler-549 c",,,,,,
"Kepler-1979 b",,"17.206200&plusmn;0.009962","15.6884000&plusmn;0.0031461","15.1496000&plusmn;0.0031474","14.9660000&plusmn;0.0033739","14.901700&plusmn;0.004636"
"Kepler-1982 b",,"14.8886000&plusmn;0.0051919","15.2766000&plusmn;0.0115756","15.1167000&plusmn;0.0099533","14.4448000&plusmn;0.0110385","13.4074000&plusmn;0.0056402"
"Kepler-1990 c",,,,,,
"Kepler-1989 b",,,,,,
"Kepler-1869 b",,,,,,
"Kepler-1993 b",,,,,,
"Kepler-1991 c",,,,,,
"Kepler-763 d",,,,,,
"Kepler-763 b",,,,,,
"Kepler-784 c",,,,,,
"Kepler-1804 b",,,,,,
"K2-168 b",,,,,,
"Kepler-1842 b",,,,,,
"Kepler-799 c",,,,,,
"Kepler-1904 b",,,,,,
"Kepler-1750 b",,,,,,
"Kepler-281 d",,,,,,
"Kepler-1987 b",,,,,,
"Kepler-1487 c",,,,,,
"Kepler-1491 b",,,,,,
"Kepler-1996 c",,,,,,
"Kepler-1978 b",,"17.8911000&plusmn;0.0117224","16.0295000&plusmn;0.0033467","15.3058000&plusmn;0.0033672","15.0575000&plusmn;0.0034018","14.9269000&plusmn;0.0043934"
"Kepler-2001 c",,,,,,
"Kepler-949 c",,,,,,
"Kepler-416 c",,,,,,
"Kepler-1979 b",,"17.206200&plusmn;0.009962","15.6884000&plusmn;0.0031461","15.1496000&plusmn;0.0031474","14.9660000&plusmn;0.0033739","14.901700&plusmn;0.004636"
"Kepler-1985 b",,,,,,
"Kepler-1518 c",,,,,,
"Kepler-1992 b",,,,,,
"Kepler-1977 b",,,,,,
"Kepler-975 b",,"17.965400&plusmn;0.013989","15.2903000&plusmn;0.0030114","14.3378000&plusmn;0.0029099","14.0199000&plusmn;0.0029881","13.8689000&plusmn;0.0036413"
"Kepler-975 c",,"17.965400&plusmn;0.013989","15.2903000&plusmn;0.0030114","14.3378000&plusmn;0.0029099","14.0199000&plusmn;0.0029881","13.8689000&plusmn;0.0036413"
"Kepler-416 b",,,,,,
"Kepler-416 c",,,,,,
"Kepler-1989 b",,,,,,
"Kepler-2000 b",,,,,,
"Kepler-2000 c",,,,,,
"Kepler-347 b",,,,,,
"Kepler-1052 b",,,,,,
"Kepler-1998 b",,,,,,
"Kepler-1991 b",,,,,,
"Kepler-1987 d",,,,,,
"Kepler-1987 e",,,,,,
"Kepler-1987 c",,,,,,
"Kepler-1987 b",,,,,,
"Kepler-1814 b",,,,,,
"Kepler-1162 b",,,,,,
"Kepler-1162 c",,,,,,
"Kepler-17 b",,,,,,
"Kepler-1624 b",,"19.9570000&plusmn;0.0410053","17.3562000&plusmn;0.0046854","15.9936000&plusmn;0.0037215","14.9626000&plusmn;0.0037154","14.449500&plusmn;0.004025"
"Kepler-485 b",,,,,,
"Kepler-424 b",,,,,,
"TOI-1516 b","F8 V",,,,,
"Kepler-425 b",,,,,,
"TOI-1516 b",,,,,,
"TOI-1246 b",,,,,,
"TOI-1670 b","F7 V",,,,,
"WD 1856+534 b",,,,,,
"TOI-1431 b","Am C",,,,,
"TOI-2180 b","G5",,,,,
"TOI-1246 c","K V",,,,,
"Kepler-1823 b",,,,,,
"Kepler-1905 b",,,,,,
"Kepler-1717 b",,,,,,
"Kepler-1949 b",,,,,,
"Kepler-1761 b",,,,,,
"Kepler-305 e",,,,,,
"Kepler-381 d",,,,,,
"Kepler-1468 b",,,,,,
"Kepler-1675 b",,"15.6179000&plusmn;0.0055086","14.252400&plusmn;0.003787","13.6602000&plusmn;0.0041542","16.3671000&plusmn;0.0159172","13.4930000&plusmn;0.0046919"
"Kepler-1872 b",,,,,,
"Kepler-1887 b",,,,,,
"Kepler-394 b",,,,,,
"Kepler-1744 b",,,,,,
"Kepler-196 b",,,,,,
"Kepler-1266 c",,,,,,
"Kepler-1782 b",,,,,,
"HIP 48714 b","M0.5 Ve",,,,,
"Kepler-1530 b",,,,,,
"Kepler-1762 b",,,,,,
"Kepler-281 b",,,,,,
"Kepler-1755 b",,,,,,
"Kepler-647 c",,,,,,
"Kepler-1734 b",,,,,,
"Kepler-1845 b",,,,,,
"Kepler-913 c",,,,,,
"Kepler-1947 b",,,,,,
"GJ 687 c",,,,,,
"Kepler-352 c",,,,,,
"Kepler-281 b",,,,,,
"Kepler-1904 b",,,,,,
"Kepler-1964 b",,,,,,
"Kepler-164 d",,,,,,
"Kepler-164 b",,,,,,
"Kepler-1991 b",,,,,,
"Kepler-1987 d",,,,,,
"Kepler-58 b",,,,,,
"Kepler-58 d",,,,,,
"Kepler-1987 e",,,,,,
"Kepler-1987 c",,,,,,
"Kepler-290 c",,,,,,
"Kepler-297 c",,,,,,
"Kepler-297 d",,,,,,
"Kepler-1894 b",,,,,,
"Kepler-1669 c",,,,,,
"Kepler-1669 d",,,,,,
"Kepler-864 b",,,,,,
"Kepler-864 c",,,,,,
"Kepler-865 b",,,,,,
"Kepler-896 c",,,,,,
"Kepler-896 b",,,,,,
"Kepler-311 c",,,,,,
"Kepler-311 d",,,,,,
"Kepler-1471 c",,,,,,
"Kepler-1838 b",,,,,,
"Kepler-1700 b",,,,,,
"Kepler-913 c",,,,,,
"Kepler-1822 b",,,,,,
"Kepler-1701 b",,,,,,
"Kepler-1815 b",,,,,,
"Kepler-799 c",,,,,,
"Kepler-1874 b",,,,,,
"HD 141004 b",,,,,,
"Kepler-1958 b",,,,,,
"Kepler-1737 b",,,,,,
"Kepler-1954 b",,,,,,
"Kepler-1488 c",,,,,,
"Kepler-1826 b",,,,,,
"Kepler-1923 b",,,,,,
"Kepler-1871 b",,,,,,
"Kepler-1666 c",,,,,,
"TOI-1420 b",,,,,,
"Kepler-1916 b",,,,,,
"Kepler-549 b",,,,,,
"Kepler-656 b",,,,,,
"Kepler-1859 b",,,,,,
"Kepler-1989 b",,,,,,
"Kepler-1990 b",,,,,,
"Kepler-2000 b",,,,,,
"Kepler-1869 c",,,,,,
"Kepler-164 c",,,,,,
"Kepler-164 d",,,,,,
"Kepler-1995 b",,,,,,
"Kepler-763 d",,,,,,
"Kepler-763 c",,,,,,
"Kepler-784 c",,,,,,
"Kepler-1978 b",,"17.8911000&plusmn;0.0117224","16.0295000&plusmn;0.0033467","15.3058000&plusmn;0.0033672","15.0575000&plusmn;0.0034018","14.9269000&plusmn;0.0043934"
"Kepler-1979 b",,"17.206200&plusmn;0.009962","15.6884000&plusmn;0.0031461","15.1496000&plusmn;0.0031474","14.9660000&plusmn;0.0033739","14.901700&plusmn;0.004636"
"Kepler-1894 b",,,,,,
"Kepler-58 b",,,,,,
"Kepler-58 d",,,,,,
"Kepler-1997 b",,,,,,
"Kepler-1980 b",,,,,,
"Kepler-290 d",,,,,,
"Kepler-297 c",,,,,,
"Kepler-297 d",,,,,,
"Kepler-1987 e",,,,,,
"Kepler-1996 b",,,,,,
"Kepler-1993 b",,,,,,
"Kepler-2000 c",,,,,,
"Kepler-1991 c",,,,,,
"Kepler-1471 b",,,,,,
"Kepler-1669 c",,,,,,
"Kepler-864 b",,,,,,
"Kepler-865 b",,,,,,
"Kepler-1880 b",,,,,,
"Kepler-1836 b",,,,,,
"Kepler-1905 b",,,,,,
"Kepler-1873 b",,,,,,
"Kepler-1891 b",,,,,,
"Kepler-1855 b",,,,,,
"Kepler-1738 b",,,,,,
"Kepler-164 e",,,,,,
"Kepler-864 c",,,,,,
"Kepler-1969 b",,,,,,
"Kepler-1682 b",,,,,,
"Kepler-462 c",,,,,,
"Kepler-949 c",,,,,,
"Kepler-1052 c",,,,,,
"Kepler-1859 c",,,,,,
"Kepler-311 d",,,,,,
"Kepler-763 d",,,,,,
"Kepler-763 c",,,,,,
"Kepler-549 d",,,,,,
"Kepler-656 c",,,,,,
"Kepler-784 c",,,,,,
"Kepler-297 d",,,,,,
"Kepler-347 d",,,,,,
"Kepler-1894 c",,,,,,
"Kepler-1471 c",,,,,,
"Kepler-1668 b",,,,,,
"Kepler-1883 b",,,,,,
"Kepler-1826 b",,,,,,
"Kepler-1847 b",,,,,,
"Kepler-1962 b",,,,,,
"Kepler-1965 b",,"15.5400000&plusmn;0.0046357","14.0734000&plusmn;0.0026566","13.6208000&plusmn;0.0031901","16.6656000&plusmn;0.0156601","13.3834000&plusmn;0.0035683"
"Kepler-1781 b",,,,,,
"Kepler-1904 b",,,,,,
"Kepler-381 b",,,,,,
"Kepler-1724 b",,,,,,
"K2-397 b","G7",,,,,
"Kepler-1743 b",,,,,,
"Kepler-1774 b",,,,,,
"Kepler-647 c",,,,,,
"Kepler-1864 b",,,,,,
"Kepler-305 c",,,,,,
"Kepler-1746 b",,,,,,
"Kepler-1688 b",,,,,,
"Kepler-27 c",,,,,,
"Kepler-1693 b",,,,,,
"Kepler-1769 b",,,,,,
"Kepler-1682 b",,,,,,
"Kepler-1947 b",,,,,,
"Kepler-1694 b",,,,,,
"Kepler-1600 b",,,,,,
"Kepler-1694 b",,,,,,
"Kepler-1921 c",,,,,,
"Kepler-1987 e",,,,,,
"Kepler-305 b",,,,,,
"Kepler-1471 c",,,,,,
"Kepler-1471 b",,,,,,
"Kepler-1987 c",,,,,,
"Kepler-1987 b",,,,,,
"Kepler-1487 b",,,,,,
"Kepler-58 b",,,,,,
"Kepler-58 c",,,,,,
"Kepler-290 c",,,,,,
"Kepler-290 b",,,,,,
"Kepler-297 b",,,,,,
"Kepler-297 c",,,,,,
"Kepler-1669 c",,,,,,
"Kepler-864 c",,,,,,
"Kepler-880 b",,,,,,
"Kepler-1518 c",,,,,,
"Kepler-896 c",,,,,,
"Kepler-311 c",,,,,,
"Kepler-311 d",,,,,,
"Kepler-949 b",,,,,,
"Kepler-1892 b",,,,,,
"Kepler-598 c",,,,,,
"Kepler-1807 b",,,,,,
"Kepler-1719 b",,"15.6999000&plusmn;0.0061214","14.981200&plusmn;0.005616","13.4747000&plusmn;0.0022999","13.4041000&plusmn;0.0032436","13.4596000&plusmn;0.0048755"
"Kepler-1726 b",,,,,,
"Kepler-1967 b",,,,,,
"Kepler-1920 b",,"16.0311000&plusmn;0.0057088","14.684900&plusmn;0.002904","14.2558000&plusmn;0.0029325","14.1167000&plusmn;0.0029745","14.0740000&plusmn;0.0037056"
"TYC 2187-512-1 b","M1.0 V",,,,,
"K2-43 b",,,,,,
"Kepler-1729 b",,,,,,
"Kepler-1925 b",,,,,,
"Kepler-1090 c",,,,,,
"Kepler-457 d",,,,,,
"Kepler-501 b",,,,,,
"Kepler-1810 b",,,,,,
"Kepler-1684 b",,,,,,
"K2-401 b",,"17.609800&plusmn;0.011929","15.7155000&plusmn;0.0050474","15.6566000&plusmn;0.0139715","13.345800&plusmn;0.003874","13.7481000&plusmn;0.0056016"
"Kepler-1786 b",,,,,,
"Kepler-1793 b",,,,,,
"Kepler-913 b",,,,,,
"Kepler-1721 b",,,,,,
"Kepler-1777 b",,"15.7988000&plusmn;0.0051265","14.3933000&plusmn;0.0030134","13.8873000&plusmn;0.0029364","13.7469000&plusmn;0.0028866","13.6823000&plusmn;0.0036488"
"Kepler-1828 b",,"16.8915000&plusmn;0.0085311","15.3757000&plusmn;0.0031602","14.8255000&plusmn;0.0030395","14.6304000&plusmn;0.0034156","14.554400&plusmn;0.004376"
"Kepler-1679 b",,,,,,
"Kepler-1889 b",,,,,,
"Kepler-1934 b",,"15.0325000&plusmn;0.0048434","13.3330000&plusmn;0.0035844","12.8061000&plusmn;0.0019933","12.7179000&plusmn;0.0025546","13.2355000&plusmn;0.0059507"
"Kepler-1726 b",,,,,,
"Kepler-633 b",,,,,,
"Kepler-385 c",,,,,,
"Kepler-1916 b",,,,,,
"Kepler-1867 b",,,,,,
"Kepler-1868 b",,,,,,
"Kepler-196 b",,,,,,
"Kepler-1709 b",,,,,,
"TOI-4641 b",,,,,,
"K2-330 b",,,,,,
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"TOI-206 b",,,,,,
"Kepler-1770 b",,,,,,
"HD 164922 b","G9 V",,,,,
"Kepler-1688 b",,,,,,
"Kepler-1514 b",,"14.5860000&plusmn;0.0053565","12.3564000&plusmn;0.0009404","14.3464000&plusmn;0.0092633","11.853100&plusmn;0.000782","13.1034000&plusmn;0.0066013"
"Kepler-1797 b",,,,,,
"Kepler-107 c",,,,,,
"Kepler-26 d",,,,,,
"Kepler-323 c",,"15.1679000&plusmn;0.0057609","13.7364000&plusmn;0.0038912","12.7214000&plusmn;0.0016089","12.8334000&plusmn;0.0034481","13.3957000&plusmn;0.0051624"
"Kepler-1487 c",,,,,,
"HATS-38 b",,,,,,
"Kepler-1801 b",,,,,,
"Kepler-1814 b",,,,,,
"Kepler-1869 b",,,,,,
"Kepler-1921 b",,,,,,
"Kepler-1894 b",,,,,,
"Kepler-1992 b",,,,,,
"Kepler-1983 b",,,,,,
"Kepler-975 c",,"17.965400&plusmn;0.013989","15.2903000&plusmn;0.0030114","14.3378000&plusmn;0.0029099","14.0199000&plusmn;0.0029881","13.8689000&plusmn;0.0036413"
"Kepler-1977 b",,,,,,
"Kepler-58 e",,,,,,
"EPIC 229004835 b",,,,,,
"Kepler-1834 c",,,,,,
"Kepler-1669 d",,,,,,
"Kepler-1988 b",,,,,,
"Kepler-290 d",,,,,,
"Kepler-865 c",,,,,,
"Kepler-896 c",,,,,,
"Kepler-1162 c",,,,,,
"Kepler-1126 c",,,,,,
"Kepler-1491 c",,,,,,
"Kepler-107 e",,,,,,
"Kepler-107 d",,,,,,
"Kepler-1987 e",,,,,,
"Kepler-1987 b",,,,,,
"Kepler-49 b",,,,,,
"Kepler-1996 b",,,,,,
"Kepler-1995 b",,,,,,
"Kepler-2001 c",,,,,,
"Kepler-2001 b",,,,,,
"Kepler-2000 b",,,,,,
"Kepler-2000 c",,,,,,
"Kepler-1992 b",,,,,,
"Kepler-1977 b",,,,,,
"Kepler-1997 b",,,,,,
"Kepler-1982 b",,"14.8886000&plusmn;0.0051919","15.2766000&plusmn;0.0115756","15.1167000&plusmn;0.0099533","14.4448000&plusmn;0.0110385","13.4074000&plusmn;0.0056402"
"Kepler-1993 b",,,,,,
"Kepler-1994 b",,,,,,
"Kepler-1981 b",,"15.2420000&plusmn;0.0046416","14.0759000&plusmn;0.0031915","13.5474000&plusmn;0.0043238","13.4506000&plusmn;0.0019513","13.296500&plusmn;0.003892"
"HATS-38 b",,,,,,
"EPIC 229004835 b",,,,,,
"Kepler-21 b",,,,,,
"GJ 411 b","M1.9",,,,,
"OGLE-2018-BLG-1126L b",,,,,,
"Kepler-1752 b",,,,,,
"Kepler-1848 b",,,,,,
"Kepler-1843 b",,,,,,
"Kepler-1038 c",,,,,,
"Kepler-1716 b",,,,,,
"Kepler-716 c",,,,,,
"K2-395 c","K0",,,,,
"Kepler-1847 b",,,,,,
"Kepler-1785 b",,,,,,
"K2-398 c",,"15.192700&plusmn;0.005993","14.9002000&plusmn;0.0052013","13.115700&plusmn;0.001659","13.0536000&plusmn;0.0035682","13.3944000&plusmn;0.0062319"
"Kepler-1775 b",,"15.0750000&plusmn;0.0041165","13.7534000&plusmn;0.0030459","13.2530000&plusmn;0.0059216","15.9771000&plusmn;0.0155231","13.2206000&plusmn;0.0037632"
"Kepler-1514 c",,"14.5860000&plusmn;0.0053565","12.3564000&plusmn;0.0009404","14.3464000&plusmn;0.0092633","11.853100&plusmn;0.000782","13.1034000&plusmn;0.0066013"
"Kepler-1773 b",,"14.9810000&plusmn;0.0045029","14.1110000&plusmn;0.0048071","14.9288000&plusmn;0.0102325","14.853200&plusmn;0.010688","13.2813000&plusmn;0.0044454"
"Kepler-1744 b",,,,,,
"Kepler-1321 b",,,,,,
"Kepler-1959 b",,,,,,
"Kepler-487 c",,,,,,
"Kepler-487 b",,,,,,
"Kepler-647 b",,,,,,
"Kepler-1853 b",,,,,,
"K2-146 c","M3.0 V",,,,,
"Kepler-1739 b",,,,,,
"Kepler-1695 b",,,,,,
"Kepler-1991 c",,,,,,
"Kepler-1991 b",,,,,,
"Kepler-27 b",,,,,,
"Kepler-1935 b",,,,,,
"Kepler-1181 b",,,,,,
"Kepler-1987 d",,,,,,
"Kepler-1669 b",,,,,,
"Kepler-416 c",,,,,,
"Kepler-416 b",,,,,,
"Kepler-290 b",,,,,,
"Kepler-549 c",,,,,,
"Kepler-1610 c",,,,,,
"Kepler-549 b",,,,,,
"Kepler-1834 b",,,,,,
"Kepler-1859 b",,,,,,
"Kepler-164 b",,,,,,
"Kepler-656 b",,,,,,
"Kepler-1869 b",,,,,,
"Kepler-164 c",,,,,,
"Kepler-164 d",,,,,,
"Kepler-1894 c",,,,,,
"Kepler-763 d",,,,,,
"Kepler-763 c",,,,,,
"Kepler-1682 b",,,,,,
"Kepler-1733 b",,"17.0324000&plusmn;0.0090832","15.701100&plusmn;0.003193","15.2982000&plusmn;0.0031075","15.1682000&plusmn;0.0033481","15.1258000&plusmn;0.0050073"
"Kepler-1896 b",,,,,,
"Kepler-1959 b",,,,,,
"KMT-2021-BLG-0320L b",,,,,,
"KMT-2021-BLG-0320L b",,,,,,
"KMT-2021-BLG-1303L b",,,,,,
"KMT-2016-BLG-1820L b",,,,,,
"Kepler-107 e",,,,,,
"Kepler-107 c",,,,,,
"Kepler-107 b",,,,,,
"K2-36 c",,,,,,
"K2-38 b",,,,,,
"EPIC 220674823 b",,"14.7932000&plusmn;0.0057755","12.6287000&plusmn;0.0010296","12.0262000&plusmn;0.0009511","11.8122000&plusmn;0.0010093","12.9569000&plusmn;0.0066982"
"K2-79 b",,,,,,
"Kepler-107 e",,,,,,
"Kepler-107 b",,,,,,
"K2-111 b",,,,,,
"Kepler-78 b",,,,,,
"GJ 367 b","M1.0 V",,,,,
"Kepler-323 b",,"15.1679000&plusmn;0.0057609","13.7364000&plusmn;0.0038912","12.7214000&plusmn;0.0016089","12.8334000&plusmn;0.0034481","13.3957000&plusmn;0.0051624"
"Kepler-1655 b",,"14.5027000&plusmn;0.0065541","11.4818000&plusmn;0.0005381","11.0932000&plusmn;0.0005851","10.9806000&plusmn;0.0005738","13.1015000&plusmn;0.0127305"
"K2-98 b","F8 V","14.8585000&plusmn;0.0057237","12.7167000&plusmn;0.0011005","12.1294000&plusmn;0.0009827","12.0217000&plusmn;0.0014758","13.506700&plusmn;0.008161"
"Kepler-46 b",,,,,,
"Kepler-46 b",,,,,,
"TOI-4600 b","K V","15.6878000&plusmn;0.0068439","13.5581000&plusmn;0.0019109","12.4417000&plusmn;0.0008878","12.2599000&plusmn;0.0019005","13.5420000&plusmn;0.0081983"
"TOI-5678 b",,,,,,
"Kepler-1655 b",,"14.5027000&plusmn;0.0065541","11.4818000&plusmn;0.0005381","11.0932000&plusmn;0.0005851","10.9806000&plusmn;0.0005738","13.1015000&plusmn;0.0127305"
"HD 88986 b","G2 V",,,,,
"Kepler-125 c",,,,,,
"HD 80653 b","G2",,,,,
"rho CrB b",,,,,,
"rho CrB c",,,,,,
"K2-111 b","G2",,,,,
"K2-111 c","G2",,,,,
"Kepler-107 d",,,,,,
"Kepler-107 c",,,,,,
"Kepler-323 c",,"15.1679000&plusmn;0.0057609","13.7364000&plusmn;0.0038912","12.7214000&plusmn;0.0016089","12.8334000&plusmn;0.0034481","13.3957000&plusmn;0.0051624"
"Kepler-78 b",,,,,,
"EPIC 220674823 c",,"14.7932000&plusmn;0.0057755","12.6287000&plusmn;0.0010296","12.0262000&plusmn;0.0009511","11.8122000&plusmn;0.0010093","12.9569000&plusmn;0.0066982"
"OGLE-2018-BLG-1212L b",,,,,,
"OGLE-2018-BLG-1367L b",,,,,,
"OGLE-2018-BLG-0932L b",,,,,,
"OGLE-2018-BLG-1647L b",,,,,,
"OGLE-2018-BLG-1367L b",,,,,,
"Kepler-323 c",,"15.1679000&plusmn;0.0057609","13.7364000&plusmn;0.0038912","12.7214000&plusmn;0.0016089","12.8334000&plusmn;0.0034481","13.3957000&plusmn;0.0051624"
"TOI-1181 b","F9 IV",,,,,
"TOI-1181 b",,,,,,
"HAT-P-58 b",,"15.2239000&plusmn;0.0055385","13.6019000&plusmn;0.0029855","12.8879000&plusmn;0.0021501","12.6325000&plusmn;0.0018097","13.0887000&plusmn;0.0058639"
"OGLE-2018-BLG-1212L b",,,,,,
"KMT-2016-BLG-2142L b",,,,,,
"Kepler-1655 b",,"14.5027000&plusmn;0.0065541","11.4818000&plusmn;0.0005381","11.0932000&plusmn;0.0005851","10.9806000&plusmn;0.0005738","13.1015000&plusmn;0.0127305"
"OGLE-2018-BLG-1367L b",,,,,,
"Kepler-46 d",,,,,,
"Kepler-46 c",,,,,,
"Kepler-46 b",,,,,,
"Kepler-1876 b",,,,,,
"Kepler-107 e",,,,,,
"Kepler-107 b",,,,,,
"Kepler-249 b",,,,,,
"Kepler-107 c",,,,,,
"Kepler-107 d",,,,,,
"Kepler-1886 b",,,,,,
"Kepler-589 c",,,,,,
"Kepler-1966 b",,,,,,
"Kepler-1756 b",,,,,,
"Kepler-783 b",,,,,,
"Kepler-799 b",,,,,,
"Kepler-196 d",,,,,,
"Kepler-1725 b",,,,,,
"Kepler-1911 b",,,,,,
"Kepler-1748 b",,,,,,
"Kepler-589 b",,,,,,
"Kepler-1795 b",,"19.3008000&plusmn;0.0281854","16.8069000&plusmn;0.0038814","15.6302000&plusmn;0.0039344","15.1557000&plusmn;0.0035813","14.8826000&plusmn;0.0047372"
"Kepler-1716 b",,,,,,
"Kepler-1686 b",,,,,,
"Kepler-1953 b",,,,,,
"Kepler-1530 b",,,,,,
"Kepler-1907 b",,,,,,
"Kepler-1311 c",,,,,,
"Kepler-1956 b",,,,,,
"Kepler-1763 b",,,,,,
"Kepler-196 b",,,,,,
"Kepler-418 c",,,,,,
"Kepler-487 c",,,,,,
"Kepler-799 b",,,,,,
"Kepler-1682 b",,,,,,
"Kepler-1701 b",,,,,,
"Kepler-1793 b",,,,,,
"Kepler-529 b",,,,,,
"Kepler-799 b",,,,,,
"Kepler-1882 b",,,,,,
"Kepler-1804 b",,,,,,
"Kepler-1853 b",,,,,,
"Kepler-1321 c",,,,,,
"Kepler-1782 b",,,,,,
"Kepler-1795 b",,"19.3008000&plusmn;0.0281854","16.8069000&plusmn;0.0038814","15.6302000&plusmn;0.0039344","15.1557000&plusmn;0.0035813","14.8826000&plusmn;0.0047372"
"Kepler-1772 b",,,,,,
"Kepler-1683 b",,,,,,
"Kepler-1770 b",,,,,,
"Kepler-1067 b",,,,,,
"Kepler-589 c",,,,,,
"Kepler-1903 b",,,,,,
"Kepler-1865 b",,,,,,
"Kepler-1664 b",,,,,,
"Kepler-1067 b",,,,,,
"Kepler-305 d",,,,,,
"Kepler-1871 b",,,,,,
"Kepler-281 c",,,,,,
"Kepler-1943 b",,,,,,
"Kepler-1798 b",,,,,,
"Kepler-1884 b",,,,,,
"Kepler-1488 b",,,,,,
"Kepler-1932 b",,,,,,
"Kepler-1321 d",,,,,,
"Kepler-1911 b",,,,,,
"Kepler-799 c",,,,,,
"Kepler-1907 c",,,,,,
"K2-389 c",,"14.5754000&plusmn;0.0058921","12.16650&plusmn;0.00087","11.6409000&plusmn;0.0008426","11.4841000&plusmn;0.0007157","12.5192000&plusmn;0.0045377"
"Kepler-1752 b",,,,,,
"Kepler-1863 b",,,,,,
"Kepler-27 b",,,,,,
"KOI-984 b",,,,,,
"Kepler-394 b",,,,,,
"Kepler-1914 b",,,,,,
"Kepler-1165 c",,,,,,
"Kepler-913 c",,,,,,
"Kepler-1739 b",,,,,,
"Kepler-1802 b",,,,,,
"Kepler-1887 b",,,,,,
"Kepler-1791 b",,,,,,
"Kepler-1956 b",,,,,,
"Kepler-1779 b",,,,,,
"Kepler-1827 b",,,,,,
"Kepler-589 b",,,,,,
"Kepler-1840 b",,,,,,
"Kepler-1944 b",,,,,,
"Kepler-616 d",,,,,,
"Kepler-352 d",,,,,,
"Kepler-1700 b",,,,,,
"Kepler-1829 b",,,,,,
"Kepler-1893 b",,,,,,
"Kepler-1935 b",,,,,,
"HAT-P-58 b",,"15.2239000&plusmn;0.0055385","13.6019000&plusmn;0.0029855","12.8879000&plusmn;0.0021501","12.6325000&plusmn;0.0018097","13.0887000&plusmn;0.0058639"
"HD 117207 b",,,,,,
"Kepler-1918 b",,,,,,
"HATS-54 b","G6 V",,,,,
"HD 13931 b",,,,,,
"HD 13931 b","G0",,,,,
"Kepler-49 d",,,,,,
"HD 139357 b",,,,,,
"Kepler-1928 b",,"15.4570000&plusmn;0.0057911","14.0707000&plusmn;0.0043308","12.5918000&plusmn;0.0013707","12.6537000&plusmn;0.0027898","13.5726000&plusmn;0.0062293"
"Kepler-1787 b",,,,,,
"YZ Cet d","M4.5",,,,,
"Kepler-1686 b",,,,,,
"Kepler-1073 c",,,,,,
"Kepler-1945 b",,,,,,
"Kepler-1820 b",,,,,,
"Kepler-1907 b",,,,,,
"Kepler-1887 b",,,,,,
"Kepler-1692 b",,,,,,
"Kepler-1321 b",,,,,,
"Kepler-647 b",,,,,,
"K2-315 b","M(3.5+/-0.5) V",,,,,
"Kepler-1754 b",,,,,,
"Kepler-27 b",,,,,,
"K2-329 b",,"15.2923000&plusmn;0.0059643","13.2854000&plusmn;0.0017913","12.5277000&plusmn;0.0014683","12.3400000&plusmn;0.0018256","12.8457000&plusmn;0.0053475"
"Kepler-324 b",,,,,,
"Kepler-607 b",,,,,,
"Kepler-1840 b",,,,,,
"Kepler-385 b",,,,,,
"Kepler-1067 b",,,,,,
"Kepler-1514 b",,"14.5860000&plusmn;0.0053565","12.3564000&plusmn;0.0009404","14.3464000&plusmn;0.0092633","11.853100&plusmn;0.000782","13.1034000&plusmn;0.0066013"
"Kepler-1809 b",,,,,,
"Kepler-1530 b",,,,,,
"Kepler-1686 b",,,,,,
"Kepler-1312 b",,,,,,
"Kepler-1073 c",,,,,,
"Kepler-618 b",,,,,,
"Kepler-1996 b",,,,,,
"Kepler-1978 b",,"17.8911000&plusmn;0.0117224","16.0295000&plusmn;0.0033467","15.3058000&plusmn;0.0033672","15.0575000&plusmn;0.0034018","14.9269000&plusmn;0.0043934"
"Kepler-1995 b",,,,,,
"Kepler-2001 b",,,,,,
"Kepler-1979 b",,"17.206200&plusmn;0.009962","15.6884000&plusmn;0.0031461","15.1496000&plusmn;0.0031474","14.9660000&plusmn;0.0033739","14.901700&plusmn;0.004636"
"Kepler-1982 b",,"14.8886000&plusmn;0.0051919","15.2766000&plusmn;0.0115756","15.1167000&plusmn;0.0099533","14.4448000&plusmn;0.0110385","13.4074000&plusmn;0.0056402"
"Kepler-2000 b",,,,,,
"Kepler-1985 b",,,,,,
"Kepler-1990 b",,,,,,
"Kepler-1990 c",,,,,,
"Kepler-2000 b",,,,,,
"Kepler-2000 c",,,,,,
"Kepler-1992 b",,,,,,
"Kepler-1983 b",,,,,,
"Kepler-1998 b",,,,,,
"HD 126614 b",,,,,,
"HD 74156 c",,,,,,
"HD 81817 b","K3 III",,,,,
"HD 217786 b","F8 V",,,,,
"HIP 90988 b","K1 III",,,,,
"Kepler-46 b",,,,,,
"Kepler-46 b",,,,,,
"HD 183263 c",,,,,,
"HD 105618 b",,,,,,
"HD 11506 c",,,,,,
"HD 125612 d",,,,,,
"Kepler-1655 b",,"14.5027000&plusmn;0.0065541","11.4818000&plusmn;0.0005381","11.0932000&plusmn;0.0005851","10.9806000&plusmn;0.0005738","13.1015000&plusmn;0.0127305"
